,日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,2015/01/01,關山,PM2.5,18,17,17,17,22,26,27,31,39,46,48,46,39,37,38,39,34,33,34,27,25,26,24,21
1,2015/01/02,關山,PM2.5,19,18,19,20,19,20,22,19,22,23,19,18,20,18,16,15,14,18,21,19,18,17,18,16
2,2015/01/03,關山,PM2.5,15,18,17,12,12,15,15,13,17,22,17,11,9,11,11,10,12,15,15,16,17,15,15,13
3,2015/01/04,關山,PM2.5,13,12,12,13,15,13,12,12,13,14,13,11,9,9,8,8,9,10,11,12,15,13,11,12
4,2015/01/05,關山,PM2.5,12,11,10,12,11,7,8,12,12,12,12,11,8,9,9,6,7,11,11,9,8,7,6,6
5,2015/01/06,關山,PM2.5,5,6,9,8,6,6,8,10,10,7,6,4,3,6,8,15,16,9,9,10,10,10,9,9
6,2015/01/07,關山,PM2.5,17,29,48,56,38,22,19,15,12,7,4,13,12,4,5,5,4,6,4,1,5,6,6,5
7,2015/01/08,關山,PM2.5,6,7,11,12,10,10,10,7,11,16,22,26,27,29,28,27,32,36,37,36,33,33,33,30
8,2015/01/09,關山,PM2.5,27,26,29,27,25,27,26,21,22,23,20,21,18,16,18,17,17,21,24,22,20,21,19,19
9,2015/01/10,關山,PM2.5,19,17,17,17,17,18,17,14,14,17,17,15,12,9,10,10,11,11,12,14,14,13,12,11
10,2015/01/11,關山,PM2.5,9,10,12,14,15,14,17,19,15,14,17,19,22,21,17,18,15,15,22,22,19,20,22,22
11,2015/01/12,關山,PM2.5,22,22,25,24,25,27,26,21,17,19,22,22,19,12,13,17,17,17,18,20,19,20,21,19
12,2015/01/13,關山,PM2.5,18,19,20,19,18,17,12,11,14,18,15,9,11,12,12,15,15,17,21,20,16,14,13,11
13,2015/01/14,關山,PM2.5,12,9,7,9,9,8,6,9,13,11,14,2,3,5,6,5,4,4,4,4,4,5,7,7
14,2015/01/15,關山,PM2.5,6,10,10,10,10,10,11,12,14,12,10,8,9,11,12,12,15,17,14,14,17,17,15,12
15,2015/01/16,關山,PM2.5,10,6,5,8,11,11,10,8,7,11,11,8,6,6,6,7,9,10,11,10,11,12,11,9
16,2015/01/17,關山,PM2.5,12,11,13,15,18,22,22,23,27,32,32,34,42,51,59,58,54,52,50,51,49,47,44,43
17,2015/01/18,關山,PM2.5,43,42,38,38,40,40,39,36,36,38,33,27,22,16,15,17,17,20,22,19,20,22,22,18
18,2015/01/19,關山,PM2.5,16,16,15,14,14,12,15,17,18,18,20,19,19,20,25,33,38,41,41,40,40,39,34,33
19,2015/01/20,關山,PM2.5,36,32,27,26,27,28,29,30,31,31,31,27,24,21,19,20,19,22,25,22,20,23,24,22
20,2015/01/21,關山,PM2.5,22,21,20,19,16,11,12,13,14,17,17,13,12,16,12,12,20,20,20,23,24,22,19,22
21,2015/01/22,關山,PM2.5,26,27,28,27,26,27,24,22,26,27,24,23,24,26,28,29,30,31,35,43,52,56,59,59
22,2015/01/23,關山,PM2.5,60,59,54,54,56,50,39,38,43,38,33,32,30,30,30,33,34,34,33,33,35,34,35,37
23,2015/01/24,關山,PM2.5,34,31,28,28,25,22,23,19,17,24,30,27,25,22,19,18,18,19,23,23,20,22,22,22
24,2015/01/25,關山,PM2.5,22,22,22,17,15,18,19,17,20,20,17,15,11,11,12,14,14,13,15,17,17,16,13,15
25,2015/01/26,關山,PM2.5,14,12,12,10,9,13,14,12,16,18,12,6,5,6,9,11,9,6,7,11,10,9,7,7
26,2015/01/27,關山,PM2.5,10,9,9,9,9,11,12,14,12,7,6,6,1,1,3,4,6,6,6,5,4,5,5,4
27,2015/01/28,關山,PM2.5,6,6,5,6,6,6,6,4,2,15,7,3,1,2,2,1,2,4,6,6,5,6,6,7
28,2015/01/29,關山,PM2.5,5,4,6,5,5,5,6,7,7,10,9,6,2,3,6,6,8,8,9,7,5,5,6,6
29,2015/01/30,關山,PM2.5,5,5,6,6,4,3,7,8,9,8,8,12,11,7,4,5,8,6,6,6,6,5,2,1
30,2015/01/31,關山,PM2.5,1,5,7,4,3,3,4,3,3,5,4,4,4,5,6,9,8,11,13,14,15,12,10,9
31,2015/02/01,關山,PM2.5,7,9,8,7,9,7,7,7,7,8,9,7,5,5,6,5,6,6,6,7,6,7,11,12
32,2015/02/02,關山,PM2.5,10,11,11,8,9,10,9,11,9,6,9,9,6,5,3,5,6,6,8,8,9,8,6,7
33,2015/02/03,關山,PM2.5,8,8,7,7,6,5,6,6,6,3,3,6,6,6,4,7,7,6,8,8,10,12,8,4
34,2015/02/04,關山,PM2.5,5,9,7,5,5,6,6,6,8,6,5,3,3,6,7,8,10,11,6,6,8,5,3,4
35,2015/02/05,關山,PM2.5,6,9,8,9,8,7,11,10,9,12,14,13,12,19,22,27,28,40,54,45,34,37,40,39
36,2015/02/06,關山,PM2.5,43,44,47,48,46,43,39,40,37,33,32,27,21,18,17,17,17,16,15,20,24,22,20,19
